Key(String),Continente(String),Funzione(String),a2020s5(Float),a2020s6(Float),a2020s7(Float),a2020s8(Float),a2020s9(Float),a2020s10(Float),a2020s11(Float),a2020s12(Float),a2020s13(Float),a2020s14(Float),a2020s15(Float),a2020s16(Float),a2020s17(Float),a2020s18(Float),a2020s19(Float),a2020s20(Float),a2020s21(Float)
AAAAfrica,Africa,MAX_WEEK,0,0,1,0,1,40,69,208,472,747,694,1097,1311,1837,3143,2597,4019
AAAEurope,Europe,MAX_WEEK,6,5,5,93,738,2513,11358,21166,35889,36160,50289,39393,24090,17320,18237,12521,10879
AAAOceania,Oceania,MAX_WEEK,5,1,0,0,7,12,57,447,476,401,161,48,24,23,26,31,15
AAAAsia,Asia,MAX_WEEK,4034,3175,14852,1821,1582,2007,1847,2868,7122,9074,11653,12820,14026,13214,17463,19877,24244
AAAAmerica,America,MAX_WEEK,6,3,1,3,37,151,930,9212,22293,36519,41187,40615,56926,49562,46292,55136,59485
IIIAsia,Asia,DEV_WEEK,1155.317,341.4573,4726.021,688.0673,372.4613,313.428,357.5312,418.6082,1595.876,717.4037,902.4563,697.5204,877.6465,785.826,1295.708,1305.619,1349.87
IIIAmerica,America,DEV_WEEK,2.185294,1.124858,0.4517539,1.049781,11.86661,49.18686,258.8545,2911.746,4323.01,4213.105,3244.353,3629.534,7584.775,5139.139,4023.811,7805.132,4379.97
IIIOceania,Oceania,DEV_WEEK,1.91663,0.4948716,0,0,2.381905,4.065785,20.2182,129.2304,119.8797,66.08745,40.22792,6.161102,5.205962,5.699982,6.243364,7.690439,4.686063
IIIAfrica,Africa,DEV_WEEK,0,0,0.3499271,0,0.4948716,13.03214,22.40809,46.33859,82.61739,127.6456,81.79542,181.4072,172.8327,214.4428,464.0229,171.6248,399.3232
IIIEurope,Europe,DEV_WEEK,1.905952,1.641304,1.665986,32.51687,208.5953,704.1893,3017.881,4078.041,4592.839,2537.225,7666.915,6041.614,4265.262,1841.591,2550.081,1163.764,1295.946
RRROceania,Oceania,AVG_WEEK,1.428571,0.4285714,0,0,1.428571,6.571429,27.28572,160.7143,335,275.8571,111,42.42857,16.42857,16.28572,18.14286,15,8.428572
RRRAmerica,America,AVG_WEEK,1.714286,0.8571429,0.2857143,0.5714286,12.57143,77.71429,518.7143,5011.714,17282.29,31728.29,36780.57,36118.57,40732.57,41640.14,42055.57,44923.14,54421
RRRAfrica,Africa,AVG_WEEK,0,0,0.1428571,0,0.4285714,11.14286,29.85714,123.8571,374.2857,497.4286,536.7143,908,1130,1479,2188.857,2394.286,3191.143
RRRAsia,Asia,AVG_WEEK,1611.571,2647.286,4094.428,949,1028,1516.429,1494,2161.286,5403.857,8383.857,10460.29,11906.71,12531.29,12094.29,15297.14,17951.29,22365.43
RRREurope,Europe,AVG_WEEK,3.285714,1.857143,1.285714,21.71428,286,1415.286,6036,16168,30221.86,33174.43,33353.29,27175.71,18610.29,15185,13661.57,10570.71,8610.857
ZZZAfrica,Africa,MIN_WEEK,0,0,0,0,0,0,8,63,248,289,446,643,827,1177,1590,2078,2746
ZZZAsia,Asia,MIN_WEEK,9,2164,6,218,475,1179,867,1540,2899,6754,9279,10838,11337,10802,13670,15749,20094
ZZZOceania,Oceania,MIN_WEEK,-1,0,0,0,0,2,0,58,60,203,30,28,8,8,7,9,0
ZZZAmerica,America,MIN_WEEK,0,0,0,0,1,26,89,1519,11660,23553,32890,31484,33149,32214,35304,32380,46706
ZZZEurope,Europe,MIN_WEEK,0,0,0,0,78,517,2776,10663,23314,28904,25862,19026,9442,11926,10660,8775,6336
